id,text,flesch_reading_ease_textstat,flesch_kincaid_grade_textstat,gunning_fog_textstat,smog_index_textstat,automated_readability_index_textstat,coleman_liau_index_textstat,linsear_write_formula_textstat,dale_chall_readability_score_textstat,readability_consensus_textstat,bias_label,bias_label_score,cognitive_label,cognitice_label_score
1,"Global population profile of tropical cyclone exposure from 2002 to 2019 Tropical cyclones have far-reaching impacts on livelihoods and population health that often persist years after the event [1,2,3,4]. Characterizing the demographic and socioeconomic profile and the vulnerabilities of exposed populations is essential to assess health and other risks associated with future tropical cyclone events [5]. Estimates of exposure to tropical cyclones are often regional rather than global [6] and do not consider population vulnerabilities [7]. Here, we combine spatially resolved annual demographic estimates with tropical cyclone wind fields estimates to construct a global profile of the populations exposed to tropical cyclones between 2002 and 2019. We find that approximately 560 million people are exposed yearly and that the number of people exposed has increased across all cyclone intensities over the study period. The age distribution of those exposed has shifted away from children (under-5) and towards older people (over-60) in recent years compared to the early 2000s. Populations exposed to tropical cyclones are more socioeconomically deprived than those unexposed within the same country, and this relationship is more pronounced for people exposed to higher-intensity storms. By characterizing the patterns and vulnerabilities of exposed populations, our results can help identify mitigation strategies and assess the global burden and future risks of tropical cyclones.",19.1,17.2,15.33,16.7,20.1,17.0,19.5,10.22,17.0,NEUTRAL,0.5404645204544067,LABELING,0.3188341557979584
2,"Digital measurement of SARS-CoV-2 transmission risk from 7 million contacts How likely is it to become infected by SARS-CoV-2 after being exposed? Virtually everyone has wondered about this question during the COVID-19 pandemic. Contact tracing apps1,2 recorded measurements of proximity3 and duration between nearby smartphones. Contacts - individuals exposed to confirmed cases - were notified according to public health policies such as the 2-metre 15-minute guideline4,5, despite limited evidence supporting this threshold. Here we analysed 7 million contacts notified by the NHS COVID-19 app6,7 in England and Wales to infer how app measurements translated to actual transmissions. Empirical metrics and statistical modelling showed a strong relation between app-computed risk scores and actual transmission probability. Longer exposures at greater distances had similar risk to shorter exposures at closer distances. The probability of transmission confirmed by a reported positive test increased initially linearly with duration of exposure (1.1% per hour) and continued increasing over several days. While most exposures were short (median 0.7 hours, IQR 0.4-1.6), transmissions typically resulted from exposures lasting one hour to several days (median 6 hours, IQR 1.4-28). Households accounted for about 6% of contacts but 40% of transmissions. With sufficient preparation, privacy-preserving yet precise analyses of risk that would inform public health measures, based on digital contact tracing, could be performed within weeks of a new pathogen emerging.",38.72,11.7,13.91,14.8,15.4,16.82,12.166666666666666,11.84,12.0,NEUTRAL,0.5825896263122559,LABELING,0.4339098334312439
3,"Stable blue phosphorescent organic LEDs that use polariton-enhanced Purcell effects Phosphorescent organic light emitting diodes (PHOLEDs) feature high efficiency1,2, brightness, and color tunability suitable for both display and lighting applications3. However, overcoming the short operational lifetime of blue PHOLEDs remains one of the most challenging high-value problems in the field of organic electronics. Their short lifetimes originate from the annihilation of high energy, long-lived blue triplets that leads to molecular dissociation4–7. The Purcell effect, the enhancement of the radiative decay rate in a microcavity, can reduce the triplet density and hence the probability of destructive high-energy triplet-polaron5,6 and triplet-triplet annihilation events4,5,7,8. Here, we introduce the polariton-enhanced Purcell effect in blue PHOLEDs. We find plasmon-exciton-polaritons9 (PEPs) significantly increase the strength of the Purcell effect and achieves an average Purcell factor of 2.4 ± 0.2 over a 50 nm thick emission layer in a blue PHOLED. A 5.3-fold improvement in LT90 (the time for the PHOLED luminance to decay to 90% of its the initial value of a cyan-emitting Ir-complex device is achieved compared to its use in a conventional PHOLED. Shifting the chromaticity coordinates to (0.14, 0.14) and (0.15, 0.20) into the deep blue, the Purcell-enhanced devices achieve 10-14 times improvement over similarly deep blue PHOLEDs, with one structure reaching the longest Ir-complex device lifetime of LT90 = 140 ± 20 h reported to date10-21. The polariton-enhanced Purcell effect and microcavity engineering provide new possibilities for extending deep blue PHOLED lifetimes.",34.46,13.4,14.0,14.9,17.4,16.77,19.75,11.68,14.0,NEUTRAL,0.5960974097251892,NO DISTORTION,0.368620902299881
4,"Protracted neuronal recruitment in the temporal lobe of young children The human brain’s temporal lobe contains the entorhinal cortex (EC), a highly interconnected integrative hub for sensory and spatial information; key for episodic memory formation and the primary source of cortical hippocampal inputs1–4. The human EC continues to develop during childhood5, yet neurogenesis and neuronal migration to the EC are widely considered complete by birth. Here we show that the human temporal lobe contains many young neurons migrating into the postnatal EC and adjacent regions; with a large tangential stream persisting ~1 year and radial dispersal until ~2-3 years. In contrast, we found no equivalent postnatal migration in rhesus macaque (Macaca mulatta). Immunostaining and single-nuclei RNA-seq (snRNA-seq) of ganglionic eminence (GE) germinal zones, EC stream, and postnatal EC reveals that most EC stream migrating cells are derived from the caudal GE and become LAMP5+RELN+ inhibitory interneurons. These late-arriving interneurons could continue to shape the processing of sensory and spatial information well into postnatal life when children are actively interacting with their environment. The EC is one of the first brain regions affected in Alzheimer’s disease and recent work links the decline in cognitive function to the loss of LAMP5+RELN+ cells6,7. Our investigation reveals that many of these cells arrive in the EC through a major postnatal migratory stream in early childhood.",26.54,16.4,19.0,18.2,19.6,15.55,26.0,11.44,16.0,BIASED,0.5567640066146851,LABELING,0.3646199405193329
5,"Disproportionate declines of formerly abundant species underlie insect loss Studies have reported widespread declines in terrestrial insect abundances in recent years1,2,3,4, but trends in other biodiversity metrics are less clear-cut5,6,7. Here we examined long-term trends in 923 terrestrial insect assemblages monitored in 106 studies, and found concomitant declines in abundance and species richness. For studies that were resolved to species level (551 sites in 57 studies), we observed a decline in the number of initially abundant species through time, but not in the number of very rare species. At the population level, we found that species that were most abundant at the start of the time series showed the strongest average declines (corrected for regression-to-the-mean effects). Rarer species were, on average, also declining, but these were offset by increases of other species. Our results suggest that the observed decreases in total insect abundance2 can mostly be explained by widespread declines of formerly abundant species. This counters the common narrative that biodiversity loss is mostly characterized by declines of rare species8,9. Although our results suggest that fundamental changes are occurring in insect assemblages, it is important to recognize that they represent only trends from those locations for which sufficient long-term data are available. Nevertheless, given the importance of abundant species in ecosystems10, their general declines are likely to have broad repercussions for food webs and ecosystem functioning.",37.54,14.3,15.53,14.9,18.9,16.31,15.75,10.4,16.0,NEUTRAL,0.5200704336166382,LABELING,0.2925410568714142
6,"Mitochondrial dysfunction abrogates dietary lipid processing in enterocytes Digested dietary fats are taken up by enterocytes where they are assembled into pre-chylomicrons in the endoplasmic reticulum followed by transport to the Golgi for maturation and subsequent secretion to the circulation1. The role of mitochondria in dietary lipid processing is unclear. Here we show that mitochondrial dysfunction in enterocytes inhibits chylomicron production and the transport of dietary lipids to peripheral organs. Mice with specific ablation of the mitochondrial aspartyl-tRNA synthetase DARS2 (ref. 2), the respiratory chain subunit SDHA3 or the assembly factor COX10 (ref. 4) in intestinal epithelial cells showed accumulation of large lipid droplets (LDs) in enterocytes of the proximal small intestine and failed to thrive. Feeding a fat-free diet suppressed the build-up of LDs in DARS2-deficient enterocytes, which shows that the accumulating lipids derive mostly from digested fat. Furthermore, metabolic tracing studies revealed an impaired transport of dietary lipids to peripheral organs in mice lacking DARS2 in intestinal epithelial cells. DARS2 deficiency caused a distinct lack of mature chylomicrons concomitant with a progressive dispersal of the Golgi apparatus in proximal enterocytes. This finding suggests that mitochondrial dysfunction results in impaired trafficking of chylomicrons from the endoplasmic reticulum to the Golgi, which in turn leads to storage of dietary lipids in large cytoplasmic LDs. Taken together, these results reveal a role for mitochondria in dietary lipid transport in enterocytes, which might be relevant for understanding the intestinal defects observed in patients with mitochondrial disorders5.",23.56,15.5,15.6,17.2,18.6,17.69,13.666666666666666,10.76,16.0,NEUTRAL,0.6396569013595581,LABELING,0.5215928554534912
7,"RNA-mediated symmetry breaking enables singular olfactory receptor choice Olfactory receptor (OR) choice provides an extreme example of allelic competition for transcriptional dominance, where every olfactory neuron stably transcribes one of approximately 2,000 or more OR alleles1,2. OR gene choice is mediated by a multichromosomal enhancer hub that activates transcription at a single OR3,4, followed by OR-translation-dependent feedback that stabilizes this choice5,6. Here, using single-cell genomics, we show formation of many competing hubs with variable enhancer composition, only one of which retains euchromatic features and transcriptional competence. Furthermore, we provide evidence that OR transcription recruits enhancers and reinforces enhancer hub activity locally, whereas OR RNA inhibits transcription of competing ORs over distance, promoting transition to transcriptional singularity. Whereas OR transcription is sufficient to break the symmetry between equipotent enhancer hubs, OR translation stabilizes transcription at the prevailing hub, indicating that there may be sequential non-coding and coding mechanisms that are implemented by OR alleles for transcriptional prevalence. We propose that coding OR mRNAs possess non-coding functions that influence nuclear architecture, enhance their own transcription and inhibit transcription from their competitors, with generalizable implications for probabilistic cell fate decisions.",-2.5,21.4,22.53,22.1,26.1,21.71,20.75,12.7,22.0,BIASED,0.6163228154182434,LABELING,0.3497315049171448
8,"Minute-scale oscillatory sequences in medial entorhinal cortex The medial entorhinal cortex (MEC) hosts many of the brain’s circuit elements for spatial navigation and episodic memory, operations that require neural activity to be organized across long durations of experience1. Whereas location is known to be encoded by spatially tuned cell types in this brain region2,3, little is known about how the activity of entorhinal cells is tied together over time at behaviourally relevant time scales, in the second-to-minute regime. Here we show that MEC neuronal activity has the capacity to be organized into ultraslow oscillations, with periods ranging from tens of seconds to minutes. During these oscillations, the activity is further organized into periodic sequences. Oscillatory sequences manifested while mice ran at free pace on a rotating wheel in darkness, with no change in location or running direction and no scheduled rewards. The sequences involved nearly the entire cell population, and transcended epochs of immobility. Similar sequences were not observed in neighbouring parasubiculum or in visual cortex. Ultraslow oscillatory sequences in MEC may have the potential to couple neurons and circuits across extended time scales and serve as a template for new sequence formation during navigation and episodic memory formation.",29.28,15.4,16.39,17.6,18.1,15.79,26.0,10.27,16.0,NEUTRAL,0.7385985851287842,LABELING,0.5018919110298157
9,"Moiré synaptic transistor with room-temperature neuromorphic functionality Moiré quantum materials host exotic electronic phenomena through enhanced internal Coulomb interactions in twisted two-dimensional heterostructures1,2,3,4. When combined with the exceptionally high electrostatic control in atomically thin materials5,6,7,8, moiré heterostructures have the potential to enable next-generation electronic devices with unprecedented functionality. However, despite extensive exploration, moiré electronic phenomena have thus far been limited to impractically low cryogenic temperatures9,10,11,12,13,14, thus precluding real-world applications of moiré quantum materials. Here we report the experimental realization and room-temperature operation of a low-power (20 pW) moiré synaptic transistor based on an asymmetric bilayer graphene/hexagonal boron nitride moiré heterostructure. The asymmetric moiré potential gives rise to robust electronic ratchet states, which enable hysteretic, non-volatile injection of charge carriers that control the conductance of the device. The asymmetric gating in dual-gated moiré heterostructures realizes diverse biorealistic neuromorphic functionalities, such as reconfigurable synaptic responses, spatiotemporal-based tempotrons and Bienenstock–Cooper–Munro input-specific adaptation. In this manner, the moiré synaptic transistor enables efficient compute-in-memory designs and edge hardware accelerators for artificial intelligence and machine learning.",-12.42,21.0,21.72,21.1,27.5,26.81,23.5,14.22,21.0,BIASED,0.5030935406684875,LABELING,0.31119945645332336
10,"Online searches to evaluate misinformation can increase its perceived veracity Considerable scholarly attention has been paid to understanding belief in online misinformation1,2, with a particular focus on social networks. However, the dominant role of search engines in the information environment remains underexplored, even though the use of online search to evaluate the veracity of information is a central component of media literacy interventions3,4,5. Although conventional wisdom suggests that searching online when evaluating misinformation would reduce belief in it, there is little empirical evidence to evaluate this claim. Here, across five experiments, we present consistent evidence that online search to evaluate the truthfulness of false news articles actually increases the probability of believing them. To shed light on this relationship, we combine survey data with digital trace data collected using a custom browser extension. We find that the search effect is concentrated among individuals for whom search engines return lower-quality information. Our results indicate that those who search online to evaluate misinformation risk falling into data voids, or informational spaces in which there is corroborating evidence from low-quality sources. We also find consistent evidence that searching online to evaluate news increases belief in true news from low-quality sources, but inconsistent evidence that it increases belief in true news from mainstream sources. Our findings highlight the need for media literacy programmes to ground their recommendations in empirically tested strategies and for search engines to invest in solutions to the challenges identified here.",18.99,17.2,17.68,18.4,20.5,17.64,20.0,10.62,18.0,BIASED,0.6203248500823975,LABELING,0.4950965642929077
